Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  LL1=2_Wax1=0.txt
Log File Name:                   LL1=2_Wax1=0.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            254430252
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   LL1=2_Wax1=0.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
84000	-46.920734	632	1	3	'0 0 0 0 0 Z Z Z 	D	0.057728	0.057728	0.057728	0.057728	0.057728	0.000000	0.000000	0.000000	0.410979	0.553054	0.035967	0.000000	5.327669	
85000	-48.334061	736	1	3	'0 0 0 0 Z Z 0 Z 	D	0.036384	0.036384	0.036384	0.036384	0.000000	0.000000	0.036384	0.000000	0.347037	0.510515	0.000000	0.142448	0.199483	
86000	-48.919512	179	1	1	'0 0 0 0 0 Z 0 0 	D	0.078659	0.078659	0.078659	0.078659	0.078659	0.000000	0.078659	0.078659	0.379831	0.396004	0.048986	0.175179	5.485064	
87000	-49.759014	160	1	2	'0 0 Z 0 0 Z 0 0 	D	0.099798	0.099798	0.000000	0.099798	0.099798	0.000000	0.099798	0.099798	0.655996	0.040333	0.138508	0.165162	16.338420	
88000	-48.259974	604	1	2	'0 0 Z 0 0 Z 0 0 	D	0.076590	0.076590	0.000000	0.076590	0.076590	0.000000	0.076590	0.076590	0.747883	0.024129	0.086416	0.141572	40.686005	
89000	-46.789048	839	1	3	'0 0 0 0 0 Z Z Z 	D	0.040719	0.040719	0.040719	0.040719	0.040719	0.000000	0.000000	0.000000	0.390859	0.587606	0.021535	0.000000	30.410050	
90000	-48.553058	246	1	2	'0 0 0 Z 0 0 Z 0 	D	0.040873	0.040873	0.040873	0.000000	0.040873	0.040873	0.000000	0.040873	0.632599	0.032111	0.294985	0.040305	14.366290	
91000	-47.341645	381	1	2	'0 0 0 0 0 0 Z Z 	D	0.042018	0.042018	0.042018	0.042018	0.042018	0.042018	0.000000	0.000000	0.444933	0.339404	0.215663	0.000000	6.984592	
92000	-48.715778	761	1	3	'0 0 Z 0 Z Z 0 0 	D	0.040394	0.040394	0.000000	0.040394	0.000000	0.000000	0.040394	0.040394	1.000000	0.000000	0.000000	0.000000	2.043129	
93000	-48.104406	342	1	2	'0 0 Z 0 0 Z 0 0 	D	0.051688	0.051688	0.000000	0.051688	0.051688	0.000000	0.051688	0.051688	0.841278	0.011707	0.052107	0.094908	2.232798	
94000	-48.222872	173	1	2	'0 0 0 0 0 Z 0 Z 	D	0.097549	0.097549	0.097549	0.097549	0.097549	0.000000	0.097549	0.000000	0.370366	0.414101	0.046850	0.168683	0.194004	
95000	-50.222858	158	1	1	'0 0 0 Z 0 0 0 0 	D	0.101029	0.101029	0.101029	0.000000	0.101029	0.101029	0.101029	0.101029	0.306643	0.118518	0.332042	0.242797	2.138915	
96000	-47.222034	925	1	1	'0 0 0 0 0 0 Z 0 	D	0.045562	0.045562	0.045562	0.045562	0.045562	0.045562	0.000000	0.045562	0.419295	0.303587	0.210236	0.066882	10.992833	
97000	-48.479157	233	1	3	'0 0 0 Z 0 0 Z Z 	D	0.037968	0.037968	0.037968	0.000000	0.037968	0.037968	0.000000	0.000000	0.583015	0.030070	0.386916	0.000000	26.861471	
