Options:
Model:                           Discrete: Dependent
Tree File Name:                  55Nepenthes1000trees_nexus.tre
Data File Name:                  Nep_55spp_Lid_loading_angle_1=0_both.txt
Log File Name:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            2888450219
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   Nep_55spp_Lid_loading_angle_1=0_both.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     8
Base frequency (PI's):           None
Character Symbols:               00,01,10,11
Using a covarion model:          False
Normalise Q Matrix:              False
Restrictions:
    q12                          RJ MCMC
    q13                          RJ MCMC
    q21                          RJ MCMC
    q24                          RJ MCMC
    q31                          RJ MCMC
    q34                          RJ MCMC
    q42                          RJ MCMC
    q43                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        RJRates - Hyper Prior exp (0.00,100.00) 
Tree Information
     Trees:                      1000
     Taxa:                       55
     Sites:                      1
     States:                     4
Iteration	Lh	Tree No	No Off Parmeters	No Off Zero	Model string	Dep / InDep	q12	q13	q21	q24	q31	q34	q42	q43	Root - P(0,0)	Root - P(0,1)	Root - P(1,0)	Root - P(1,1)	RJRates - Mean	
55000	-51.358481	346	2	2	'0 0 Z 1 1 Z 1 1 	D	2.466667	2.466667	0.000000	18.142535	18.142535	0.000000	18.142535	18.142535	0.250000	0.250000	0.250000	0.250000	18.550844	
56000	-52.773424	532	2	2	'0 Z Z 1 1 0 1 1 	D	1.919126	0.000000	0.000000	36.319936	36.319936	1.919126	36.319936	36.319936	0.250000	0.250000	0.250000	0.250000	26.688162	
57000	-50.766145	290	2	1	'0 0 0 1 1 Z 1 1 	D	2.808741	2.808741	2.808741	35.697002	35.697002	0.000000	35.697002	35.697002	0.250000	0.250000	0.250000	0.250000	32.813612	
58000	-50.339321	41	2	0	'0 0 0 1 1 0 1 1 	D	2.990009	2.990009	2.990009	29.863211	29.863211	2.990009	29.863211	29.863211	0.250000	0.250000	0.250000	0.250000	46.028021	
59000	-50.370296	295	2	2	'0 Z Z 1 1 0 1 1 	D	6.251395	0.000000	0.000000	47.990699	47.990699	6.251395	47.990699	47.990699	0.250000	0.250000	0.250000	0.250000	86.407731	
60000	-50.743742	949	2	1	'0 0 0 1 1 Z 1 1 	D	6.646477	6.646477	6.646477	83.632594	83.632594	0.000000	83.632594	83.632594	0.250000	0.250000	0.250000	0.250000	92.115091	
61000	-56.072012	629	2	0	'0 0 0 1 1 1 1 1 	D	0.872368	0.872368	0.872368	46.927345	46.927345	46.927345	46.927345	46.927345	0.250000	0.250000	0.250000	0.250000	82.274769	
62000	-51.944986	591	2	1	'0 0 Z 1 1 1 1 1 	D	5.409676	5.409676	0.000000	69.942673	69.942673	69.942673	69.942673	69.942673	0.250000	0.250000	0.250000	0.250000	87.678869	
63000	-49.960182	427	2	3	'0 Z Z 1 1 Z 1 1 	D	10.747451	0.000000	0.000000	99.568777	99.568777	0.000000	99.568777	99.568777	0.250000	0.250000	0.250000	0.250000	89.768296	
64000	-50.334937	201	2	2	'0 0 Z 1 1 Z 1 1 	D	6.133389	6.133389	0.000000	62.293873	62.293873	0.000000	62.293873	62.293873	0.250000	0.250000	0.250000	0.250000	87.583395	
65000	-51.061938	24	2	1	'0 0 0 1 1 Z 1 1 	D	3.341849	3.341849	3.341849	46.475256	46.475256	0.000000	46.475256	46.475256	0.250000	0.250000	0.250000	0.250000	91.689369	
66000	-51.165426	585	2	2	'0 Z Z 1 1 1 1 1 	D	6.623154	0.000000	0.000000	97.316434	97.316434	97.316434	97.316434	97.316434	0.250000	0.250000	0.250000	0.250000	96.591727	
67000	-51.017624	425	2	0	'0 0 0 1 1 0 1 1 	D	3.956978	3.956978	3.956978	59.966704	59.966704	3.956978	59.966704	59.966704	0.250000	0.250000	0.250000	0.250000	83.948837	
68000	-50.555947	885	2	1	'0 0 0 1 1 Z 1 1 	D	3.807109	3.807109	3.807109	33.064709	33.064709	0.000000	33.064709	33.064709	0.250000	0.250000	0.250000	0.250000	92.093096	
69000	-51.119152	749	2	0	'0 0 0 1 1 0 1 1 	D	2.539863	2.539863	2.539863	38.681307	38.681307	2.539863	38.681307	38.681307	0.250000	0.250000	0.250000	0.250000	92.613056	
70000	-50.603620	768	2	1	'0 Z 0 1 1 0 1 1 	D	3.799398	0.000000	3.799398	40.703821	40.703821	3.799398	40.703821	40.703821	0.250000	0.250000	0.250000	0.250000	84.222113	
71000	-51.466790	619	2	2	'0 Z Z 1 1 1 1 1 	D	2.275828	0.000000	0.000000	23.997065	23.997065	23.997065	23.997065	23.997065	0.250000	0.250000	0.250000	0.250000	88.746046	
72000	-52.232659	880	2	1	'0 Z 0 1 1 1 1 1 	D	1.728868	0.000000	1.728868	31.170238	31.170238	31.170238	31.170238	31.170238	0.250000	0.250000	0.250000	0.250000	72.412493	
73000	-50.475796	601	2	1	'0 0 0 1 1 Z 1 1 	D	8.721585	8.721585	8.721585	86.062784	86.062784	0.000000	86.062784	86.062784	0.250000	0.250000	0.250000	0.250000	81.450502	
74000	-52.991560	295	2	2	'0 0 Z 1 1 Z 1 1 	D	0.108763	0.108763	0.000000	2.344128	2.344128	0.000000	2.344128	2.344128	0.249998	0.250003	0.249998	0.250001	71.234112	
75000	-50.387098	465	2	2	'0 Z Z 1 1 0 1 1 	D	8.252622	0.000000	0.000000	83.766402	83.766402	8.252622	83.766402	83.766402	0.250000	0.250000	0.250000	0.250000	65.764788	
76000	-50.794083	286	2	1	'0 Z 1 1 1 0 1 1 	D	31.630889	0.000000	77.671542	77.671542	77.671542	31.630889	77.671542	77.671542	0.250000	0.250000	0.250000	0.250000	56.834942	
77000	-51.668529	896	2	1	'0 Z 1 1 1 0 1 1 	D	5.956585	0.000000	30.951264	30.951264	30.951264	5.956585	30.951264	30.951264	0.250000	0.250000	0.250000	0.250000	51.017197	
78000	-50.884721	946	2	1	'0 Z 1 1 1 0 1 1 	D	2.808773	0.000000	12.294139	12.294139	12.294139	2.808773	12.294139	12.294139	0.250000	0.250000	0.250000	0.250000	26.257745	
79000	-50.887398	61	2	1	'0 Z 1 1 1 0 1 1 	D	6.094323	0.000000	26.694590	26.694590	26.694590	6.094323	26.694590	26.694590	0.250000	0.250000	0.250000	0.250000	13.745033	
80000	-50.348740	180	2	1	'0 Z 1 1 1 0 1 1 	D	1.442365	0.000000	5.036720	5.036720	5.036720	1.442365	5.036720	5.036720	0.250000	0.250000	0.250000	0.250000	15.626444	
81000	-50.473849	520	2	1	'0 Z 1 1 1 0 1 1 	D	17.508677	0.000000	50.808748	50.808748	50.808748	17.508677	50.808748	50.808748	0.250000	0.250000	0.250000	0.250000	26.103751	
82000	-51.989367	948	2	0	'0 0 1 1 1 0 1 1 	D	2.545147	2.545147	16.192996	16.192996	16.192996	2.545147	16.192996	16.192996	0.250000	0.250000	0.250000	0.250000	24.375221	
83000	-51.074273	754	2	1	'0 Z 1 1 1 0 0 1 	D	5.832253	0.000000	19.795725	19.795725	19.795725	5.832253	5.832253	19.795725	0.250000	0.250000	0.250000	0.250000	21.004700	
84000	-50.400210	913	2	1	'0 Z 1 1 1 0 1 1 	D	17.072386	0.000000	48.595538	48.595538	48.595538	17.072386	48.595538	48.595538	0.250000	0.250000	0.250000	0.250000	21.198851	
85000	-50.125657	7	2	2	'0 Z Z 1 1 0 1 1 	D	2.477589	0.000000	0.000000	21.361753	21.361753	2.477589	21.361753	21.361753	0.250000	0.250000	0.250000	0.250000	17.135493	
86000	-50.609627	230	2	1	'0 Z 1 1 1 0 1 1 	D	0.973118	0.000000	3.750966	3.750966	3.750966	0.973118	3.750966	3.750966	0.250000	0.250000	0.250000	0.250000	11.650448	
87000	-51.178892	265	2	1	'0 Z 1 1 1 0 0 1 	D	8.799478	0.000000	26.177042	26.177042	26.177042	8.799478	8.799478	26.177042	0.250000	0.250000	0.250000	0.250000	20.350731	
88000	-51.492290	952	2	1	'0 Z 1 1 1 0 0 1 	D	5.630750	0.000000	24.979829	24.979829	24.979829	5.630750	5.630750	24.979829	0.250000	0.250000	0.250000	0.250000	34.087452	
